age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
43,4,102606,12,9,3,12,1,5,1,0,0,48,39,0
55,4,323887,16,10,3,4,1,5,1,15024,0,45,39,1
46,4,175622,9,11,3,13,1,5,1,0,0,40,39,0
30,4,229636,12,9,3,7,1,5,1,0,0,40,26,0
21,4,388946,16,10,6,6,2,5,2,0,0,40,39,0
46,4,269034,16,10,3,3,1,4,1,0,0,40,6,0
17,0,165361,5,6,5,0,4,5,1,0,0,40,39,0
41,4,75012,12,9,3,7,1,5,1,0,0,50,39,0
69,5,174379,12,9,3,12,1,5,1,0,0,30,39,0
50,4,312477,12,9,3,14,1,5,1,0,0,40,39,0
20,4,72055,16,10,5,1,2,5,2,0,0,40,39,0
45,5,67001,16,10,3,7,1,5,1,0,0,50,39,0
23,4,213734,10,13,5,4,2,5,1,0,0,40,39,0
24,4,83141,16,10,6,8,2,5,1,0,1876,40,39,0
44,5,223881,12,9,3,3,1,5,1,99999,0,50,0,1
31,6,113752,16,10,3,3,1,5,1,0,0,50,39,0
43,4,170482,12,9,6,7,2,5,2,0,0,44,39,0
20,1,244689,6,7,5,8,4,5,2,0,0,10,39,0
55,4,160631,12,9,3,12,1,5,1,0,0,56,39,1
24,1,228724,16,10,5,2,2,5,1,0,0,40,39,0
41,0,38434,13,14,3,0,6,5,2,7688,0,10,39,1
59,4,292946,10,13,5,4,2,5,2,0,0,25,39,0
49,1,77443,3,4,5,8,2,3,1,0,0,20,39,0
33,4,176410,13,14,3,10,6,5,2,5178,0,10,39,1
59,1,98984,10,13,1,1,2,5,1,0,0,40,39,0
34,4,198751,13,14,5,8,2,1,1,0,0,40,39,0
20,4,479296,12,9,5,6,4,5,1,0,0,40,39,0
25,4,235218,10,13,5,4,4,5,2,0,0,40,39,0
49,4,164877,5,6,3,5,1,5,1,0,0,40,39,0
59,4,272087,12,9,3,14,1,5,1,0,0,40,39,1
20,4,169699,12,9,5,1,2,5,2,0,0,40,39,0
51,0,189762,16,10,3,0,6,5,2,0,0,18,39,0
33,4,202191,16,10,5,1,5,3,2,0,0,35,39,0
22,4,212261,16,10,5,14,4,3,1,0,0,39,39,0
58,6,301568,4,5,7,8,2,5,2,0,0,40,39,0
52,2,155233,12,9,7,1,5,5,2,0,0,28,39,0
36,4,75826,5,6,6,7,2,5,2,0,0,40,39,0
41,2,201520,12,9,3,11,1,5,1,0,0,40,39,0
28,4,154236,12,9,5,14,4,5,1,2597,0,40,39,0
19,4,289227,16,10,5,6,4,3,1,0,0,16,39,0
18,4,217439,12,9,5,8,2,5,2,0,0,28,39,0
18,4,179020,12,9,5,7,4,5,2,0,0,48,39,0
28,4,149624,16,10,3,3,1,5,1,0,0,40,39,0
29,4,337266,9,11,3,4,1,5,1,0,0,40,39,1
20,0,30796,12,9,5,0,4,5,2,0,0,20,39,0
40,4,103541,16,10,3,6,1,5,1,0,0,40,39,0
26,4,206721,12,9,5,6,5,5,1,0,0,40,39,0
46,4,96773,12,9,3,3,1,5,1,0,0,40,39,0
23,4,200967,6,7,5,8,2,5,2,0,0,24,39,0
44,4,180019,12,9,4,1,5,5,2,0,0,40,39,0
43,4,179866,10,13,1,12,5,5,2,0,0,40,39,1
31,2,198770,10,13,1,10,5,5,2,0,0,60,39,0
18,4,219256,16,10,5,12,4,5,2,0,0,25,39,0
19,4,248730,16,10,5,11,4,5,1,0,0,30,39,0
41,4,110732,16,10,1,13,2,5,2,0,0,40,39,0
41,4,181020,12,9,1,6,5,5,2,0,0,40,39,0
69,4,183791,12,9,1,1,2,5,2,0,0,25,39,0
48,1,42972,11,16,3,10,6,5,2,0,0,40,39,1
28,4,134813,12,9,5,10,4,5,1,0,0,40,39,0
27,6,115438,12,9,3,3,1,5,1,0,0,60,21,1
41,4,239296,13,14,3,10,1,5,1,0,2415,50,39,1
41,4,428420,16,10,3,1,1,5,1,0,0,40,39,0
24,4,247846,12,9,5,3,5,3,2,0,0,40,39,0
20,0,334105,12,9,5,0,2,5,2,0,0,40,39,0
42,5,100793,11,16,3,10,1,5,1,0,0,41,39,1
57,4,244478,12,9,3,3,1,3,1,0,0,48,39,0
30,4,142921,8,12,5,10,2,5,2,0,0,40,39,0
36,4,182863,12,9,3,12,1,5,1,0,0,60,39,1
49,4,171128,3,4,3,7,1,3,1,0,0,40,39,0
33,4,145402,12,9,3,7,6,5,2,0,0,35,39,0
23,4,306309,5,6,3,5,1,5,1,0,0,40,39,0
46,4,83822,13,14,3,10,1,5,1,0,0,40,39,0
18,4,262118,16,10,5,1,4,2,2,0,0,22,11,0
40,4,155972,12,9,3,4,1,5,1,7688,0,55,39,1
43,5,214503,12,9,3,4,1,5,1,0,1887,45,39,1
34,4,159303,13,14,5,10,4,5,2,0,0,30,39,0
47,6,174995,12,9,7,4,2,5,2,0,0,30,39,0
44,4,26669,9,11,7,4,5,5,2,0,0,30,39,0
33,4,177727,12,9,3,12,1,5,1,0,0,40,39,1
55,4,124771,10,13,3,4,1,5,1,15024,0,50,39,1
19,4,456736,12,9,5,12,2,5,1,2907,0,30,39,0
28,4,216604,16,10,5,8,2,3,1,0,0,14,39,0
27,4,221561,6,7,3,8,6,3,2,0,0,32,39,0
50,4,114564,3,4,3,7,1,5,1,0,0,20,39,0
22,4,315476,6,7,5,3,5,5,1,0,0,40,39,0
40,7,67874,10,13,3,1,1,5,1,0,1887,45,39,1
25,4,126110,16,10,5,1,4,5,2,0,0,40,39,0
26,2,102264,12,9,5,3,2,5,1,0,0,40,39,0
22,4,537222,10,13,5,12,2,5,1,0,0,25,39,0
42,4,113732,16,10,5,6,5,3,2,0,625,40,39,0
38,5,93225,10,13,1,4,2,5,1,0,0,40,39,0
55,4,43064,6,7,3,8,1,5,1,0,0,30,39,0
32,4,136921,12,9,3,12,1,5,1,0,0,40,39,0
22,4,388885,12,9,3,3,1,5,1,0,0,45,39,0
29,4,142249,10,13,5,12,4,5,1,0,0,40,39,0
46,7,56841,13,14,3,4,1,5,1,0,0,45,39,1
31,4,156493,16,10,3,4,1,5,1,0,0,40,39,1
58,6,159021,11,16,3,10,1,5,1,0,0,16,39,1
42,4,190910,12,9,3,3,1,5,1,0,0,45,39,0
18,4,41879,12,9,5,6,5,5,1,0,0,25,39,0
58,2,137249,12,9,1,4,2,5,1,0,0,33,39,0
54,4,236157,12,9,3,10,1,5,1,0,1887,40,39,1
34,4,189759,13,14,5,10,2,5,1,0,0,40,39,0
26,4,239877,10,13,5,1,2,5,2,0,0,40,39,0
61,4,21175,7,8,3,4,1,5,1,0,0,60,39,0
48,2,67229,13,14,6,1,5,3,2,0,0,40,39,0
36,4,236391,16,10,3,4,1,5,1,0,0,45,39,1
24,4,325596,9,11,3,7,1,5,1,0,0,45,39,0
40,4,83411,16,10,3,7,1,5,1,0,0,37,39,0
33,5,154227,12,9,3,12,1,5,1,0,0,50,39,1
37,4,248010,16,10,3,7,1,5,1,0,1887,40,39,1
34,4,198613,13,14,5,4,4,5,1,4650,0,40,39,0
56,5,321529,16,10,3,4,1,5,1,15024,0,40,39,1
28,0,168524,12,9,3,0,4,5,2,0,0,38,39,1
37,4,203079,10,13,7,4,2,5,2,0,0,55,39,0
44,4,284652,12,9,1,12,5,3,2,0,0,40,39,0
64,0,201368,16,10,3,0,1,5,1,0,0,8,39,0
54,4,59840,12,9,1,6,2,5,1,0,0,45,39,0
23,4,52753,12,9,5,7,2,5,1,0,0,50,39,0
34,7,513100,10,13,4,5,2,3,1,0,0,40,0,0
22,4,199266,12,9,5,8,2,5,2,0,0,45,39,0
33,4,196385,10,13,3,4,1,5,1,0,1977,40,39,1
39,4,163205,10,13,6,10,2,5,1,0,0,50,39,1
47,4,411047,16,10,1,1,2,3,2,0,0,37,39,0
79,0,48574,3,4,7,0,2,5,1,0,0,40,39,0
26,4,209440,12,9,5,10,5,3,2,0,0,55,39,0
31,4,56964,16,10,1,4,5,5,2,0,0,40,39,0
44,4,299197,16,10,5,14,2,5,1,0,0,45,39,0
42,5,240628,15,15,3,10,6,5,2,0,0,50,39,1
19,4,355313,12,9,5,7,2,5,2,0,0,40,39,0
27,4,132267,12,9,3,6,1,5,1,0,0,40,39,1
51,2,174861,16,10,3,11,1,5,1,0,0,40,39,1
28,5,142443,10,13,3,4,1,5,1,0,0,50,39,0
57,4,26716,10,13,1,3,2,5,1,0,0,45,39,0
45,2,185588,10,13,1,10,5,5,2,0,0,40,39,0
50,4,175029,9,11,3,10,1,5,1,0,0,40,39,1
34,5,34848,10,13,3,12,1,5,1,0,0,54,39,0
45,4,411273,3,4,3,3,1,3,1,0,0,40,39,0
73,2,143437,12,9,3,4,1,5,1,0,0,20,39,0
34,4,357145,10,13,3,10,6,5,2,0,0,50,39,1
31,4,236861,16,10,3,12,1,5,1,0,0,55,39,1
19,4,53355,6,7,5,12,2,5,1,0,0,12,39,0
25,4,29106,16,10,5,8,4,5,2,0,0,50,39,0
38,1,213274,9,11,1,3,5,5,2,6497,0,40,39,0
39,4,22463,10,13,3,14,1,5,1,0,0,40,39,0
23,4,180497,10,13,5,13,4,3,2,0,0,32,39,0
49,4,37306,12,9,3,7,1,5,1,0,0,40,39,0
33,1,137814,12,9,5,8,2,5,1,0,0,32,39,0
21,4,447488,2,3,5,7,3,5,1,0,0,38,26,0
31,4,220915,9,11,6,3,2,5,1,0,0,40,39,0
23,4,42251,10,13,5,4,2,5,2,0,0,45,39,0
34,4,162312,10,13,3,1,1,2,1,0,0,40,30,0
25,4,77698,12,9,5,7,2,2,2,0,0,40,30,0
39,4,282951,12,9,5,3,5,5,1,0,0,40,39,0
52,5,311259,12,9,3,12,1,5,1,0,0,40,39,1
63,2,65479,4,5,3,14,1,5,1,7688,0,40,39,1
41,4,277256,16,10,3,3,1,5,1,0,0,40,39,0
46,4,312088,10,13,3,10,1,5,1,15024,0,38,39,1
53,2,169719,12,9,3,4,1,5,1,0,0,40,39,0
25,0,270276,4,5,6,0,2,5,2,1055,0,40,39,0
77,0,172744,16,10,3,0,1,5,1,0,0,35,39,0
18,4,96869,7,8,5,9,4,5,1,0,0,40,39,0
38,4,237943,15,15,3,10,1,5,1,0,0,50,39,0
55,4,119751,13,14,5,4,5,2,2,0,0,50,37,0
34,4,236861,12,9,3,13,1,5,1,0,0,40,39,1
80,6,201092,12,9,3,8,1,5,1,0,0,30,39,0
34,4,147215,9,11,1,13,5,5,2,0,0,60,39,0
52,4,152373,16,10,3,13,1,5,1,5013,0,40,39,0
42,4,227968,12,9,5,8,5,3,2,0,0,28,1,0
26,4,362617,16,10,5,12,2,5,2,0,0,40,39,0
31,4,103435,12,9,3,14,1,5,1,0,0,40,39,0
25,2,281412,12,9,5,8,4,5,2,0,0,35,39,0
55,6,105239,12,9,3,3,1,5,1,0,2057,60,39,0
19,4,230165,16,10,5,8,4,5,2,0,0,12,39,0
62,6,177493,16,10,3,14,1,5,1,0,0,32,39,0
22,1,104443,16,10,5,1,4,5,2,0,0,20,39,0
39,0,110342,12,9,3,0,6,5,2,0,0,50,39,0
35,4,143385,12,9,3,6,1,5,1,0,0,40,39,0
28,4,107189,12,9,3,12,4,5,2,0,0,40,39,0
47,4,212944,12,9,3,14,1,5,1,0,0,70,39,1
44,7,138634,12,9,3,7,1,5,1,0,0,40,39,0
21,4,99970,16,10,5,12,4,5,1,0,0,15,39,0
35,4,203717,9,11,5,3,2,5,1,0,0,50,39,0
24,4,313956,10,13,3,10,1,5,1,0,0,40,39,1
42,1,177937,10,13,5,10,2,5,1,0,0,40,0,0
28,4,193868,10,13,5,13,4,5,1,0,0,50,39,0
21,4,250939,16,10,5,7,3,5,1,0,0,35,39,0
62,1,57629,16,10,1,13,2,3,1,4650,0,40,39,0
39,4,281768,12,9,5,8,2,3,2,0,0,40,39,0
30,7,260782,12,9,5,8,2,5,1,0,0,40,39,0
72,6,243769,15,15,5,10,2,5,1,0,1429,20,39,0
50,4,109937,16,10,3,4,6,5,2,0,0,50,39,0
28,2,134890,13,14,5,10,2,5,1,0,0,40,39,0
29,4,100293,16,10,5,10,2,5,2,0,0,40,39,0
26,4,132179,10,13,5,1,4,5,2,0,0,40,39,0
27,4,116372,13,14,5,4,2,5,2,0,0,40,39,0
29,4,255412,16,10,3,6,1,5,1,3103,0,40,39,1
61,0,195789,12,9,3,0,1,5,1,0,0,40,39,0
29,4,342400,5,6,3,3,1,5,1,0,0,25,39,0
21,0,65481,16,10,5,0,4,5,2,0,0,30,39,0
31,4,169085,6,7,3,12,6,5,2,0,0,20,39,0
25,4,177221,12,9,3,4,1,5,1,0,0,75,39,0
58,4,65325,5,6,3,14,1,5,1,0,0,40,39,1
64,4,118944,16,10,3,4,6,5,2,0,0,40,39,1
46,7,149337,13,14,5,4,2,5,1,0,0,38,39,0
53,0,237868,12,9,3,0,1,5,1,0,0,35,39,1
19,4,106183,12,9,5,8,4,1,2,0,0,35,39,0
42,4,226388,12,9,1,8,2,3,1,0,0,52,39,0
18,4,220754,6,7,5,6,4,5,1,0,0,24,39,0
58,5,204021,10,13,3,3,1,5,1,15024,0,50,39,1
20,4,347391,16,10,5,11,2,3,1,0,0,60,39,0
35,1,413930,12,9,3,3,1,5,1,0,0,40,39,1
32,4,174201,12,9,3,6,1,5,1,0,0,38,39,1
23,4,145917,12,9,5,6,2,5,2,0,0,25,39,0
31,4,241797,16,10,1,13,5,5,2,0,0,40,39,0
33,4,265168,10,13,3,12,1,3,1,0,0,55,39,0
41,4,171234,16,10,5,7,2,5,2,0,0,48,39,0
22,4,178452,12,9,5,7,4,3,1,0,0,40,39,0
46,4,157857,16,10,3,11,1,5,1,0,0,40,39,1
61,1,512864,16,10,3,14,1,3,1,0,0,40,39,0
30,4,296462,12,9,5,4,2,3,1,0,0,40,39,0
42,4,171615,12,9,3,4,1,5,1,0,0,55,39,1
63,4,214071,5,6,3,6,1,5,1,0,0,40,39,0
26,4,172421,16,10,3,12,1,5,1,0,0,40,39,0
42,4,195488,5,6,1,1,5,5,2,0,0,40,39,0
23,4,316841,16,10,3,8,1,5,1,0,0,40,39,0
25,4,236267,12,9,5,7,5,5,1,0,1590,40,39,0
30,4,236543,4,5,3,8,1,5,1,0,0,32,8,1
23,4,318483,12,9,5,12,4,5,1,0,0,40,39,0
34,6,163756,9,11,5,5,2,5,1,27828,0,60,39,1
30,4,238186,12,9,3,7,3,5,1,0,2057,48,39,0
39,4,329980,16,10,3,3,1,5,1,0,0,40,39,1
30,4,169269,6,7,5,6,3,5,1,0,1721,38,33,0
38,2,34744,16,10,1,1,5,5,2,0,0,38,39,0
26,4,98114,12,9,1,4,4,5,2,0,0,40,39,0
20,4,109667,16,10,5,6,4,5,1,0,0,16,39,0
37,2,263690,10,13,5,10,5,3,1,0,0,40,0,0
33,4,147430,12,9,3,1,4,5,2,0,0,40,39,0
24,4,224238,10,13,5,1,4,5,1,0,0,40,39,0
42,5,212894,10,13,3,4,1,5,1,0,0,60,39,1
51,6,136708,12,9,3,12,1,2,1,3103,0,84,40,0
56,2,38573,8,12,3,13,1,5,1,0,0,45,39,1
22,4,197200,16,10,5,6,4,5,1,0,0,40,39,0
52,6,182796,16,10,3,5,1,5,1,0,0,60,39,0
44,4,184527,10,13,1,4,5,5,2,4934,0,45,39,1
34,4,145231,12,9,3,1,6,5,2,4064,0,35,39,0
51,4,43354,16,10,1,3,2,5,1,0,0,42,39,1
20,0,318865,16,10,5,0,2,5,1,0,0,40,39,0
19,4,355712,16,10,5,12,2,5,2,0,0,25,39,0
37,4,98776,10,13,3,4,1,5,1,0,0,40,39,1
68,4,257557,12,9,3,7,1,3,1,0,0,40,39,1
22,4,102258,16,10,1,11,2,5,1,0,0,40,39,0
56,5,170287,10,13,3,4,1,5,1,0,0,40,39,0
37,4,243409,12,9,3,3,1,5,1,0,0,40,39,0
52,4,55608,1,2,3,7,1,5,1,0,0,40,26,0
26,4,248057,12,9,6,6,4,5,1,0,0,40,33,0
33,4,95530,13,14,3,10,1,5,1,0,0,50,39,0
45,2,54038,13,14,1,10,5,5,2,0,0,42,39,0
18,4,161245,6,7,5,8,4,5,1,0,0,15,39,0
43,6,388725,16,10,3,5,1,5,1,0,0,60,39,1
64,6,71807,11,16,3,10,1,5,1,15024,0,50,0,1
18,4,228216,12,9,5,6,4,5,1,0,0,20,39,0
20,0,303121,16,10,5,0,4,5,1,0,0,45,39,0
57,4,78020,12,9,3,3,1,5,1,0,0,40,39,1
41,4,249254,12,9,1,1,5,5,2,3674,0,42,39,0
34,4,87218,13,14,3,4,1,5,1,0,1887,50,39,1
19,4,304299,12,9,5,12,5,5,2,0,0,40,39,0
44,4,196234,4,5,1,8,5,5,2,0,0,55,6,0
56,4,197875,5,6,7,8,5,5,2,0,0,40,39,0
36,5,48063,12,9,3,5,1,5,1,0,0,80,39,0
48,4,253596,10,13,1,4,5,5,2,0,0,48,39,0
29,4,39257,12,9,3,14,1,5,1,0,0,40,39,1
33,4,56150,10,13,5,3,2,5,1,2174,0,40,39,0
31,4,179415,2,3,3,8,1,5,1,0,0,40,26,0
39,4,252445,13,14,3,10,1,5,1,0,0,45,39,1
66,4,275918,12,9,3,4,1,5,1,10605,0,40,39,1
27,4,106562,10,13,5,10,2,5,2,0,0,50,39,1
39,4,198654,12,9,1,4,5,3,2,99999,0,40,39,1
59,4,107318,3,4,3,3,1,5,1,5178,0,50,39,1
26,4,181896,12,9,5,8,4,5,2,0,0,40,39,0
31,4,106014,9,11,1,3,5,5,1,0,0,40,39,0
45,0,319993,12,9,7,0,5,5,2,0,0,40,26,0
23,4,197997,12,9,5,6,4,5,1,0,0,30,39,0
36,2,173542,12,9,1,1,5,5,2,0,0,40,39,0
34,4,207564,16,10,3,8,6,5,2,0,0,12,39,1
32,4,224462,12,9,3,14,1,5,1,0,0,84,39,1
37,4,123361,10,13,3,10,1,3,1,0,0,50,39,1
33,4,90409,10,13,5,12,2,5,1,0,0,45,39,0
50,6,165001,15,15,3,10,1,5,1,99999,0,80,39,1
32,1,149573,8,12,5,11,2,3,1,0,0,40,39,0
35,4,249456,10,13,5,1,4,3,2,0,0,40,39,0
37,4,149898,6,7,3,3,1,5,1,0,0,40,39,0
44,4,292985,16,10,1,3,2,5,1,0,0,60,39,0
57,4,50223,16,10,1,6,3,5,1,0,0,25,39,0
29,2,400074,16,10,3,4,4,5,2,0,0,40,39,0
55,4,197399,12,9,3,3,1,5,1,0,0,50,39,1
43,5,209547,15,15,3,10,1,5,1,0,0,25,39,1
43,4,52433,16,10,3,12,1,5,1,0,0,70,39,0
45,6,355978,16,10,3,12,1,5,1,0,0,60,39,1
33,6,48214,13,14,3,10,6,5,2,0,0,8,39,0
26,4,190873,5,6,1,8,5,5,2,0,0,40,11,0
23,4,278390,16,10,3,12,1,5,1,0,0,68,39,0
41,4,203217,3,4,6,3,2,5,1,0,0,40,26,0
24,4,279175,12,9,3,3,1,5,1,0,0,40,39,0
47,6,194590,10,13,3,12,1,5,1,0,0,44,39,0
34,6,198813,12,9,5,3,4,5,1,0,0,45,39,0
40,4,187294,12,9,3,4,1,5,1,0,0,40,39,1
28,4,302903,10,13,3,10,6,2,2,0,1485,40,39,0
24,4,154835,12,9,5,4,4,2,2,0,0,40,35,0
73,0,73402,16,10,3,0,1,5,1,0,0,10,39,0
23,4,100345,12,9,5,3,3,5,1,0,0,15,39,0
43,6,126320,12,9,3,4,1,3,1,0,0,40,39,1
26,4,142226,10,13,1,13,2,5,2,0,0,40,39,0
58,6,112076,11,16,2,4,6,5,2,0,1485,35,39,1
52,4,225339,12,9,7,1,5,3,2,0,0,35,39,0
29,4,211208,6,7,3,14,1,5,1,0,0,99,39,1
47,4,200808,6,7,3,8,1,5,1,0,0,35,4,0
49,4,220618,12,9,1,1,5,3,2,0,0,37,39,0
40,4,210493,6,7,7,1,5,5,2,0,0,40,39,0
62,6,369734,12,9,3,1,6,5,2,0,0,40,39,0
49,4,27898,12,9,3,4,1,5,1,0,1977,55,39,1
50,4,138193,10,13,1,10,3,5,2,0,0,50,39,1
31,4,224234,12,9,5,14,4,3,1,0,0,40,39,0
48,2,188741,13,14,5,10,2,5,2,0,0,50,39,0
24,4,183772,12,9,5,3,5,5,2,0,0,40,39,0
41,0,155041,12,9,5,0,4,5,2,3418,0,40,39,0
37,4,79586,12,9,6,7,4,2,1,0,0,60,39,0
45,4,355781,10,13,3,4,1,2,1,0,0,45,24,1
63,0,156158,12,9,3,0,1,5,1,0,0,16,39,0
36,4,116358,13,14,3,4,1,2,1,0,0,45,19,0
45,4,59287,10,13,3,4,1,5,1,0,0,40,39,0
41,4,138868,10,13,5,12,2,5,2,0,0,40,39,0
26,4,185885,8,12,5,13,3,5,2,0,0,20,39,0
17,4,40299,6,7,5,12,4,5,2,0,0,25,39,0
27,4,500068,12,9,3,8,1,5,1,0,0,36,0,0
43,4,51494,12,9,3,7,1,5,1,0,0,65,39,0
35,4,179481,12,9,5,14,4,5,1,0,0,55,39,0
38,4,365907,10,13,1,1,5,5,2,0,0,40,39,0
26,4,284343,12,9,5,7,2,5,1,0,0,40,39,0
28,4,204862,16,10,5,4,4,5,2,0,0,40,39,0
38,4,272476,10,13,3,10,6,5,2,0,0,24,39,1
36,4,175130,6,7,1,14,5,5,2,0,0,40,39,0
33,4,118941,12,9,3,1,6,5,2,0,0,40,39,1
19,4,164339,12,9,5,6,4,5,1,1055,0,70,39,0
22,0,213291,8,12,5,0,4,5,1,0,0,25,39,0
42,1,55457,5,6,3,1,1,5,1,0,0,40,26,0
50,4,280292,5,6,3,14,1,5,1,0,0,40,39,1
30,4,446894,12,9,3,6,1,5,1,0,0,30,39,0
37,7,67083,16,10,3,10,3,2,1,0,0,40,1,0
54,5,159219,15,15,3,10,1,5,1,99999,0,40,39,1
52,5,168539,10,13,5,4,2,5,1,0,0,40,39,0
65,4,88145,1,2,3,6,1,4,1,0,0,40,0,0
33,4,150309,12,9,1,3,2,5,2,0,0,40,39,0
25,4,122999,16,10,5,13,3,5,1,0,0,40,39,0
24,4,302195,10,13,5,12,2,5,1,0,0,45,39,0
26,4,210982,9,11,6,1,5,3,2,114,0,40,39,0
39,4,177140,12,9,6,1,2,5,1,0,0,40,39,1
59,4,113838,12,9,1,8,2,5,2,0,0,40,39,0
29,4,97165,16,10,5,1,5,5,2,0,0,40,39,0
47,4,104301,6,7,5,8,4,5,2,0,0,45,39,0
23,0,192028,16,10,5,0,4,5,2,0,0,35,39,0
64,5,115931,12,9,3,14,1,5,1,0,0,50,39,0
21,4,147280,12,9,5,8,4,4,1,0,0,20,39,0
32,4,185433,16,10,3,1,6,3,2,0,0,40,39,1
26,4,599057,12,9,5,4,2,3,2,0,0,37,39,0
19,0,50626,16,10,5,0,4,3,2,0,0,20,39,0
62,6,71467,13,14,3,10,1,5,1,0,0,40,39,0
32,4,183977,10,13,3,3,1,5,1,0,0,55,39,1
75,0,26586,5,6,4,0,2,5,2,0,0,5,39,0
45,6,196858,12,9,3,4,1,5,1,0,0,60,39,0
31,4,160594,10,13,3,4,1,5,1,0,1887,50,39,1
32,4,65278,12,9,3,1,1,5,1,2580,0,40,39,0
24,4,102258,10,13,3,12,1,5,1,0,0,40,39,0
25,4,196947,10,13,5,12,4,5,2,0,0,40,39,0
41,6,233150,12,9,3,4,1,5,1,0,0,60,39,0
18,4,42857,16,10,5,12,4,5,2,0,0,20,39,0
